Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Age,Customer_Days,MntTotal,MntRegularProds,AcceptedCmpOverall
33812,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,35,2762,94,55,0
37040,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,38,2849,268,220,0
2447,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,41,2698,1729,1728,0
58607,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,71,2712,953,934,1
65324,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,66,2328,539,534,0
40689,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,69,2627,345,246,0
18589,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,51,2702,62,49,0
53359,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,44,2557,216,175,0
38360,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,31,2553,121,111,0
84618,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,55,2378,1672,1672,1
10979,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,31,2197,26,22,0
38620,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,57,2573,229,140,0
40548,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,50,2786,117,114,1
46610,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,1,68,2767,259,216,0
68657,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,74,2653,1174,1152,0
49389,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,69,2463,62,59,0
67353,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,50,2339,878,843,0
23718,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,44,2459,45,9,0
42429,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,47,2297,63,59,0
48948,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,1,77,2672,860,818,1
80011,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,40,2585,1293,1191,0
20559,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,35,2633,46,39,0
21994,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,63,2711,19,16,0
7500,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,45,2429,19,7,0
79941,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,44,2160,810,636,0
7500,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,1,24,2756,72,22,0
41728,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,52,2560,42,29,0
72550,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,66,2757,1281,1243,0
65486,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,63,2207,493,479,0
79143,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,56,2846,1661,1629,0
35790,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,43,2702,69,66,0
82582,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,1,43,2181,1376,1135,2
66373,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,42,2541,497,388,0
82384,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,1,65,2746,1767,1577,1
70287,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,1,54,2612,1053,1013,0
27938,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,32,2221,24,19,0
55954,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,52,2277,475,432,0
75777,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,1,38,2519,1358,1278,2
66653,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,45,2819,606,600,0
61823,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,68,2655,715,546,0
67680,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,69,2542,600,594,0
70666,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,72,2364,1046,1016,0
25721,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,1,49,2563,19,4,0
32474,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,53,2208,11,11,0
88194,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,1,41,2261,1236,1198,2
69096,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,62,2434,544,435,0
74854,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,50,2606,1489,1416,0
66991,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,66,2815,1241,1229,0
65031,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,61,2628,777,691,0
60631,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,45,2609,642,623,1
28332,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,68,2219,56,47,0
40246,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,43,2716,12,11,0
75251,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,1,48,2830,1872,1854,0
75825,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,1,44,2784,2158,2107,1
26326,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,0,44,2457,9,0,0
56046,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,1,55,2702,641,590,1
29760,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,35,2828,148,131,0
26304,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,51,2530,12,8,0
23559,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,47,2520,56,33,0
38620,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,57,2573,229,140,0
81361,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,33,2283,702,626,0
29440,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,60,2481,53,50,0
36138,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,50,2507,146,141,1
50388,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,1,63,2191,338,304,2
79593,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,47,2207,1221,1076,1
54178,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,53,2318,187,180,0
42394,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,48,2257,28,24,0
23626,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,50,2195,43,43,0
30096,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,37,2197,36,27,0
47916,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,60,2743,531,456,1
51813,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,48,2603,61,59,0
78497,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,69,2369,755,532,1
50150,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,37,2533,399,388,0
47823,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,60,2500,62,52,0
34554,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,61,2250,50,45,0
85693,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,41,2594,1058,947,0
65846,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,75,2567,1039,958,0
87195,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,1,61,2211,1059,1021,0
24594,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,41,2360,20,11,0
49096,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,56,2437,180,173,0
52413,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,51,2671,845,780,0
38557,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,42,2716,118,91,0
89058,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,60,2728,807,764,0
77298,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,41,2398,890,811,0
68126,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,1,29,2755,1734,1648,1
57288,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,57,2163,548,488,1
86037,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,1,29,2702,708,686,2
43974,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,40,2723,479,407,0
50785,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,58,2451,87,60,0
90765,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,50,2315,1691,1658,2
36550,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,42,2654,457,337,0
30753,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,53,2512,51,21,0
21918,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,51,2386,30,27,0
56129,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,67,2533,612,564,0
32557,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,1,53,2284,70,60,0
19510,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,35,2457,23,16,0
30992,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,44,2592,41,39,0
101970,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,1,37,2633,967,799,3
71488,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,55,2655,387,215,0
79607,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,1,36,2593,1707,1491,0
54348,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,67,2180,86,82,0
77376,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,64,2209,649,637,0
62998,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,68,2431,405,347,0
61331,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,62,2635,591,550,0
73448,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,51,2298,595,465,0
41551,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,56,2478,256,233,0
62981,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,53,2628,1482,1482,1
9548,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,44,2849,20,11,0
33762,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,61,2516,90,74,0
35860,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,1,47,2200,29,9,1
36921,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,55,2495,34,30,0
92859,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,28,2777,2057,2037,0
65104,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1,44,2386,1003,953,0
86111,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,58,2595,1259,1133,0
68352,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,46,2464,838,805,0
41883,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,32,2626,196,80,0
59809,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,44,2778,828,779,0
23957,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,1,45,2768,52,36,0
38547,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,0,39,2464,18,14,0
35688,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,47,2835,179,147,0
49605,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,54,2167,119,111,0
59354,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,67,2225,446,433,0
65747,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,51,2273,447,434,1
46344,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,48,2721,338,247,0
34176,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,32,2207,69,49,0
61010,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,68,2787,945,869,0
69372,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,1,71,2654,1339,1297,2
49967,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,62,2515,303,300,0
60199,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,42,2449,18,18,0
55375,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,43,2414,148,134,0
80317,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,65,2472,1174,1117,0
30523,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,62,2522,8,3,0
70356,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,75,2760,1673,1640,0
23228,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,36,2334,116,111,0
74165,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,45,2583,1281,1269,0
43482,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,54,2387,60,32,0
62551,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,67,2382,394,367,1
52332,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,61,2464,257,255,1
66951,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,32,2398,993,869,0
26091,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,63,2283,69,49,0
33456,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,55,2228,29,22,0
28718,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,38,2510,41,25,0
50447,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,50,2228,121,94,0
53537,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,61,2309,87,81,0
52074,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,53,2245,71,23,1
80427,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,45,2814,1809,1783,0
83837,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,1,72,2719,1207,1096,2
38853,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,50,2196,43,41,0
38285,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,61,2164,9,8,0
78497,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,69,2369,755,532,1
51650,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,44,2208,184,177,0
16248,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,32,2209,48,39,0
66835,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,74,2433,892,751,0
30477,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,36,2317,54,42,0
28249,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,59,2173,33,23,0
25271,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,37,2730,43,36,0
32303,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,50,2272,37,35,0
61286,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,54,2490,491,374,0
74068,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,44,2626,1566,1551,0
45759,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,56,2650,64,60,0
24882,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,42,2817,44,8,1
66973,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,31,2567,1180,1078,0
38872,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,32,2554,69,47,0
51148,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,47,2655,303,291,0
31353,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,43,2341,24,17,0
69661,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,40,2206,826,818,0
80067,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,66,2442,1549,1498,1
86718,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,66,2687,1098,926,0
46854,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,1,47,2249,184,105,1
69142,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,68,2159,496,457,1
75922,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,52,2361,1203,1111,0
63693,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,42,2417,1096,1042,0
102160,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,1,43,2763,1182,1124,3
40637,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,55,2506,35,32,0
18890,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,1,36,2755,20,5,1
29604,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,32,2362,39,25,1
48721,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,57,2571,272,251,0
44794,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,54,2180,61,57,0
64497,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,1,66,2816,1612,1420,1
46097,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,64,2614,233,225,0
77972,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,66,2262,1089,1077,0
44377,70,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,52,2791,254,244,0
46014,21,410,0,59,19,9,44,10,7,1,8,7,0,0,0,0,0,0,46,2683,497,453,0
70951,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,35,2580,1144,1090,0
41443,79,171,7,171,25,19,89,6,8,1,5,8,0,0,0,0,0,0,43,2248,393,304,0
52195,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,42,2207,16,15,0
83790,81,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0,0,72,2385,1599,1583,2
44551,24,182,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0,0,66,2461,219,153,0
69508,48,824,32,162,42,32,43,2,11,4,11,6,0,0,0,0,0,0,40,2751,1092,1049,0
45204,93,30,11,25,29,1,18,1,1,1,4,3,0,0,0,0,0,0,32,2238,96,78,0
72460,56,377,10,540,80,30,10,1,3,5,7,1,0,0,0,0,0,0,51,2386,1037,1027,0
77622,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,50,2235,700,686,0
30732,44,155,1,25,0,1,3,4,4,1,4,8,0,0,0,0,0,0,40,2699,182,179,0
63887,38,897,23,207,15,11,92,5,9,6,12,6,0,0,0,0,0,0,58,2818,1153,1061,0
42011,46,131,0,16,2,1,39,4,3,1,4,8,0,0,0,0,0,0,42,2619,150,111,0
51369,84,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0,0,44,2771,394,212,0
51537,27,787,20,204,0,0,92,3,2,2,11,8,0,0,0,0,0,0,68,2726,1011,919,0
79930,72,792,86,740,67,51,17,1,3,5,8,2,0,0,0,0,0,0,48,2849,1736,1719,0
34320,66,4,1,9,3,0,0,1,1,0,2,8,0,0,0,0,0,0,34,2292,17,17,0
37070,30,231,7,137,4,15,39,9,5,1,8,7,0,0,0,0,0,1,54,2625,394,355,0
81975,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,58,2699,1561,1534,1
38590,65,3,1,8,4,3,3,1,1,0,2,8,0,0,0,0,0,0,49,2569,19,16,0
15033,37,0,4,5,6,0,4,1,1,0,3,3,0,0,0,0,0,0,69,2233,15,11,0
62745,89,562,21,464,28,10,32,3,7,8,11,5,0,0,0,0,0,0,55,2622,1085,1053,0
22212,49,5,9,20,6,8,21,2,2,0,4,6,0,0,0,0,0,0,45,2361,48,27,0
23661,46,18,0,4,0,0,1,1,1,0,3,7,0,0,0,0,0,0,38,2366,22,21,0
79761,32,415,5,124,15,35,11,1,5,2,11,3,0,0,0,0,0,0,62,2427,594,583,0
7500,54,5,3,10,12,7,20,4,3,1,3,7,0,0,0,0,0,0,47,2344,37,17,0
73455,98,901,61,757,186,163,20,1,6,5,10,3,0,1,0,0,0,0,52,2403,2068,2048,1
64961,97,382,114,276,75,124,38,2,6,4,4,3,0,0,0,0,0,0,62,2712,971,933,0
22804,75,14,1,7,2,1,1,1,2,0,2,9,0,0,0,0,0,0,49,2492,25,24,0
73687,8,559,153,503,218,13,181,1,3,9,9,2,0,0,0,1,0,1,30,2372,1446,1265,1
61074,37,789,0,133,0,28,152,7,11,5,8,7,0,0,0,0,0,0,62,2840,950,798,0
31686,31,11,0,5,0,0,1,2,1,0,3,6,0,0,0,0,0,0,56,2183,16,15,0
80134,40,1218,16,272,104,0,80,2,5,3,6,6,0,1,1,1,0,1,48,2564,1610,1530,3
75027,74,925,64,179,133,12,77,2,9,4,6,5,0,0,0,0,0,0,67,2695,1313,1236,0
67546,90,864,134,768,150,38,172,1,4,10,5,3,0,0,0,0,0,0,32,2826,1954,1782,0
65176,57,960,28,183,220,70,70,4,9,6,6,6,0,0,0,0,0,0,51,2767,1461,1391,0
31160,59,16,3,25,6,1,13,2,2,0,3,8,0,0,0,0,0,0,45,2445,51,38,0
29938,52,3,3,7,0,2,11,2,1,0,3,6,0,0,0,0,0,0,35,2404,15,4,0
102692,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,1,46,2609,964,816,4
26490,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,62,2804,185,160,0
75702,77,650,28,353,45,42,30,5,4,6,11,8,0,0,0,0,0,0,53,2828,1118,1088,0
30899,35,24,0,8,0,0,1,2,1,0,3,6,0,0,0,0,0,0,46,2783,32,31,0
63342,48,918,21,118,13,10,21,3,8,3,5,6,0,1,0,0,0,0,59,2780,1080,1059,1
45989,97,138,33,87,28,24,12,4,3,2,7,3,0,0,0,0,0,0,56,2774,310,298,0
18701,95,12,4,2,10,6,10,4,2,0,4,5,0,0,0,0,0,0,56,2549,34,24,0
40737,24,11,0,4,0,0,2,1,1,0,2,8,0,0,0,0,0,0,63,2362,15,13,0
15287,60,1,2,8,4,3,13,2,1,1,2,7,1,0,0,0,0,1,41,2786,18,5,1
69674,46,554,41,215,11,0,24,3,10,2,10,5,0,0,0,0,0,0,52,2562,821,797,0
44159,85,167,2,62,24,13,7,4,4,1,6,5,0,0,0,0,0,0,50,2171,268,261,0
37717,31,9,0,6,4,1,5,1,1,0,2,9,0,0,0,0,0,0,42,2742,20,15,0
43776,9,177,2,71,3,2,20,6,5,2,4,8,0,0,0,0,0,1,68,2670,255,235,0
38179,30,38,4,22,4,2,20,4,3,1,3,7,0,0,0,0,0,0,54,2631,70,50,0
80124,47,483,84,398,205,84,241,1,3,7,8,1,1,0,0,0,0,0,57,2162,1254,1013,1
38097,70,77,2,35,0,1,69,4,3,2,2,7,1,0,0,0,0,1,50,2781,115,46,1
72940,13,182,74,298,162,149,116,1,3,3,6,1,0,0,0,0,0,0,50,2534,865,749,0
22070,11,10,7,19,8,2,21,2,2,2,2,6,0,0,0,0,0,0,50,2427,46,25,0
69267,31,778,44,499,95,73,146,2,3,4,5,7,0,0,0,0,0,1,67,2804,1489,1343,0
31788,15,16,7,23,0,8,6,3,3,0,4,5,0,0,0,0,0,0,37,2260,54,48,0
61905,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,45,2304,218,205,0
29315,55,13,2,14,8,7,4,4,2,0,4,6,0,0,0,0,0,0,60,2243,44,40,0
33378,38,33,6,40,3,7,10,3,2,0,4,7,0,0,0,0,0,0,57,2667,89,79,0
66313,86,625,7,99,10,22,7,2,6,3,12,4,0,0,0,0,0,0,57,2445,763,756,0
60714,56,216,162,224,101,92,162,2,7,4,10,5,0,0,0,0,0,1,64,2687,795,633,0
77882,29,68,129,396,188,22,15,1,3,3,5,1,0,0,0,0,0,0,39,2219,803,788,0
69867,30,196,0,512,33,130,54,1,3,5,8,1,0,0,0,1,0,1,34,2612,871,817,1
63841,64,635,15,100,20,7,131,1,9,3,9,6,0,0,0,0,0,0,52,2593,777,646,0
24480,46,4,19,9,28,25,17,3,3,0,4,7,0,0,0,0,0,0,39,2662,85,68,0
51369,84,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0,0,44,2771,394,212,0
37760,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,74,2826,289,261,0
